,Polarity
4678,3
13248,4
21888,4
25533,4
6127,3
7893,3
14862,4
16259,4
18298,4
4252,3
27051,4
10884,4
27569,4
30193,4
8637,3
12731,4
3843,3
17266,4
27607,4
26136,4
25301,4
19785,4
26782,4
17287,4
18443,4
17101,4
28270,4
6172,3
8278,3
2960,2
18959,4
28039,4
19179,4
3472,3
21814,4
14246,4
28934,4
7901,3
13045,4
8609,3
765,1
29978,4
6738,3
28876,4
1815,2
27786,4
17842,4
16402,4
8125,3
1368,2
29745,4
6639,3
27317,4
8646,3
9529,4
19888,4
20799,4
19154,4
7181,3
2403,2
1421,2
28569,4
22330,4
20399,4
28427,4
19164,4
26357,4
11211,4
14722,4
70,0
5586,3
16418,4
18847,4
1908,2
9712,4
21541,4
10927,4
27677,4
7897,3
11520,4
19389,4
4624,3
18521,4
23966,4
27143,4
5582,3
16740,4
1836,2
22606,4
16847,4
9940,4
20277,4
7801,3
11993,4
25842,4
2485,2
26500,4
18415,4
5197,3
2258,2
21491,4
8181,3
24988,4
661,1
17180,4
11655,4
19808,4
9064,3
325,0
26745,4
24244,4
7389,3
5218,3
11641,4
13824,4
26454,4
15751,4
10706,4
11056,4
14907,4
13214,4
9709,4
25280,4
5815,3
372,0
28721,4
22867,4
4182,3
23564,4
25921,4
8404,3
27110,4
15135,4
21815,4
1148,1
2305,2
29054,4
5382,3
376,0
4592,3
26515,4
12886,4
10441,4
16164,4
27342,4
29453,4
11760,4
20891,4
6677,3
5719,3
2107,2
10567,4
20061,4
14788,4
6058,3
8080,3
2967,2
14428,4
1438,2
15911,4
12558,4
22471,4
30120,4
27678,4
11151,4
25254,4
9841,4
15288,4
116,0
10768,4
6776,3
22313,4
21535,4
8678,3
22420,4
17087,4
21246,4
13786,4
14833,4
10159,4
24806,4
21408,4
10165,4
20378,4
1577,2
16155,4
14905,4
25862,4
9100,3
9678,4
13644,4
88,0
11506,4
16340,4
14340,4
13191,4
15914,4
3122,2
8731,3
25015,4
13778,4
6720,3
21395,4
26667,4
8648,3
28992,4
16483,4
782,1
15561,4
10775,4
949,1
10200,4
27471,4
6473,3
25959,4
18571,4
10805,4
4461,3
12138,4
16192,4
30,0
16891,4
25694,4
5117,3
16741,4
23131,4
10672,4
2211,2
6922,3
3035,2
2244,2
553,1
19825,4
24079,4
18127,4
955,1
27065,4
10269,4
18155,4
16117,4
8674,3
30018,4
3408,3
18787,4
1704,2
25987,4
1580,2
21686,4
5956,3
12620,4
25977,4
25615,4
2749,2
4260,3
7474,3
24811,4
5734,3
13816,4
11027,4
21249,4
8573,3
22591,4
8443,3
3791,3
9049,3
15347,4
1745,2
22769,4
18334,4
27205,4
14292,4
21300,4
28736,4
3165,2
10090,4
13811,4
26766,4
7955,3
23098,4
18294,4
18108,4
10718,4
13099,4
25153,4
23781,4
13902,4
26615,4
13083,4
16809,4
23371,4
9073,3
3351,2
21893,4
28266,4
18992,4
18695,4
22972,4
569,1
5423,3
25309,4
16675,4
27936,4
5366,3
22097,4
1902,2
20105,4
14089,4
16194,4
28502,4
21614,4
14588,4
6233,3
28571,4
29106,4
16308,4
15287,4
30028,4
14183,4
27869,4
352,0
1712,2
1373,2
21021,4
9753,4
796,1
694,1
14088,4
15693,4
11562,4
3585,3
23400,4
26865,4
5764,3
14716,4
26011,4
21357,4
9210,3
24920,4
18923,4
26686,4
2817,2
17211,4
2056,2
25036,4
1550,2
14371,4
16166,4
13358,4
2754,2
5261,3
23654,4
27260,4
16743,4
14253,4
9640,4
23425,4
29470,4
27169,4
12804,4
7462,3
30128,4
16559,4
12101,4
23563,4
6005,3
25107,4
26106,4
24729,4
4488,3
26995,4
21083,4
25287,4
11289,4
9339,4
20744,4
16883,4
22789,4
26429,4
16695,4
5635,3
4250,3
25576,4
28175,4
30094,4
3798,3
26504,4
13317,4
27457,4
19872,4
21545,4
12689,4
29197,4
22017,4
14883,4
9145,3
6281,3
11016,4
7168,3
22380,4
2761,2
29947,4
14313,4
2735,2
1411,2
20525,4
2265,2
2580,2
3392,2
19481,4
15902,4
9149,3
29523,4
15323,4
18322,4
29322,4
5744,3
8830,3
916,1
3959,3
18157,4
7948,3
10714,4
3674,3
6990,3
11075,4
29375,4
14029,4
21699,4
7603,3
7593,3
7875,3
14290,4
2778,2
22654,4
1627,2
20390,4
4631,3
18568,4
12213,4
26021,4
2455,2
25361,4
22084,4
18954,4
3328,2
6118,3
20172,4
2468,2
8289,3
27626,4
7826,3
20279,4
16574,4
11893,4
29580,4
24030,4
11660,4
11521,4
18856,4
11787,4
20963,4
21654,4
2924,2
23089,4
10720,4
17142,4
25339,4
3371,2
29570,4
612,1
25845,4
27513,4
18974,4
21741,4
12333,4
9869,4
864,1
1955,2
28014,4
28947,4
20514,4
20275,4
24691,4
6754,3
17346,4
16649,4
9060,3
44,0
2863,2
26205,4
22243,4
25847,4
8558,3
10680,4
13428,4
20788,4
18627,4
16854,4
16977,4
13038,4
19726,4
591,1
5052,3
14025,4
26820,4
11272,4
17136,4
27563,4
18961,4
202,0
21005,4
4630,3
12109,4
22762,4
9416,4
2082,2
6399,3
18041,4
15456,4
22683,4
13028,4
8215,3
4895,3
3589,3
27594,4
19959,4
2304,2
1250,1
16910,4
20707,4
9243,3
19874,4
9807,4
3986,3
2582,2
5678,3
18730,4
18502,4
9550,4
